Duration__in_seconds_,ResponseId,RIASEC_1,RIASEC_2,RIASEC_3,RIASEC_4,RIASEC_5,RIASEC_6,RIASEC_7,RIASEC_8,RIASEC_9,RIASEC_10,RIASEC_11,RIASEC_12,RIASEC_13,RIASEC_14,RIASEC_15,RIASEC_16,RIASEC_17,RIASEC_18,RIASEC_19,RIASEC_20,RIASEC_21,RIASEC_22,RIASEC_23,RIASEC_24,RIASEC_25,RIASEC_26,RIASEC_27,RIASEC_28,RIASEC_29,RIASEC_30,RIASEC_31,RIASEC_32,RIASEC_33,RIASEC_34,RIASEC_35,RIASEC_36,RIASEC_37,RIASEC_38,RIASEC_39,RIASEC_40,RIASEC_41,RIASEC_42,RIASEC_43,RIASEC_44,RIASEC_45,RIASEC_46,RIASEC_47,RIASEC_48,RIASEC_49,RIASEC_50,RIASEC_51,RIASEC_52,RIASEC_53,RIASEC_54,RIASEC_55,RIASEC_56,RIASEC_57,RIASEC_58,RIASEC_59,RIASEC_60,NARC_1,NARC_2,NARC_3,NARC_4,NARC_5,NARC_6,NARC_7,NARC_8,NARC_9,NARC_10,NARC_11,NARC_12,NARC_13,NARC_14,NARC_15,NARC_16,NARC_17,NARC_18,Voc_Interests_5_R,Voc_Interests_7_R,Voc_Interests_11_R,Voc_Interests_13_R,Voc_Interests_15_R,Voc_Interests_24_R,Voc_Interests_27_R,Voc_Interests_34_R,Voc_Interests_51_R,Voc_Interests_9_I,Voc_Interests_10_I,Voc_Interests_14_I,Voc_Interests_21_I,Voc_Interests_25_I,Voc_Interests_29_I,Voc_Interests_32_I,Voc_Interests_39_I,Voc_Interests_52_I,Voc_Interests_2_A,Voc_Interests_3_A,Voc_Interests_6_A,Voc_Interests_19_A,Voc_Interests_22_A,Voc_Interests_30_A,Voc_Interests_38_A,Voc_Interests_44_A,Voc_Interests_54_A,Voc_Interests_16_S,Voc_Interests_23_S,Voc_Interests_35_S,Voc_Interests_43_S,Voc_Interests_45_S,Voc_Interests_46_S,Voc_Interests_47_S,Voc_Interests_48_S,Voc_Interests_53_S,Voc_Interests_18_E,Voc_Interests_26_E,Voc_Interests_28_E,Voc_Interests_31_E,Voc_Interests_33_E,Voc_Interests_37_E,Voc_Interests_41_E,Voc_Interests_42_E,Voc_Interests_50_E,Voc_Interests_1_C,Voc_Interests_4_C,Voc_Interests_8_C,Voc_Interests_12_C,Voc_Interests_17_C,Voc_Interests_20_C,Voc_Interests_36_C,Voc_Interests_40_C,Voc_Interests_49_C,WV1_achievement,WV6_achievement,WV4_status,WV5_status,WV12_status,WV8_altruism,WV11_altruism,WV15_altruism,WV2_safety,WV16_safety,WV17_safety,WV3_comfort,WV7_comfort,WV10_comfort,WV14_comfort,WV18_comfort,WV19_comfort,WV9_autonomy,WV13_autonomy,WV20_autonomy,Ethnicity,Work_status,Edu,Income,Age,Gender
448,R_22EKtcpNaRlKvoQ,3,2,2,3,3,3,3,2,2,3,3,4,3,3,2,4,3,2,3,4,3,4,4,3,4,3,4,2,3,3,2,3,3,2,3,4,2,2,1,1,3,2,2,2,4,2,1,3,2,3,3,2,3,2,2,2,3,3,2,2,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,5,2,1,3,3,3,4,2,3,2,2,4,3,2,2,2,3,3,2,2,3,3,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,3,4,3,3,2,2,2,2,4,2,1,2,3,2,2,2,3,2,3,6,4,4,6,5,5,4,4,5,4,3,6,6,6,6,5,5,5,5,6,12,4,5,46,0
450,R_BK68HQ7mLdyJ7mV,3,2,3,2,3,3,2,3,3,3,4,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,2,3,2,2,3,5,2,3,3,4,3,4,2,2,3,3,2,2,3,3,4,5,3,3,2,3,3,3,3,3,4,4,3,3,3,3,4,2,3,3,4,3,3,4,4,4,2,2,4,3,3,2,4,4,3,4,3,4,3,3,4,3,4,4,4,6,6,6,4,6,5,5,4,6,6,5,4,6,4,6,4,6,6,5,4,1,12,4,5,36,1
452,R_27yuikRODN8f2Ml,4,3,4,3,3,4,3,4,3,2,3,3,4,3,4,4,3,4,1,4,4,4,3,4,4,4,4,2,3,3,1,1,1,3,1,1,3,1,1,1,2,2,2,2,3,1,2,2,3,2,3,4,3,3,3,3,3,3,3,3,3,2,2,3,4,4,4,4,4,4,2,2,3,3,3,3,3,2,3,3,5,5,5,5,3,4,4,4,3,4,3,4,4,2,3,4,4,3,5,3,5,5,3,3,4,3,2,4,3,1,3,4,1,1,2,3,3,3,2,2,3,3,3,4,3,3,5,3,3,4,3,3,6,6,6,1,3,5,7,6,6,6,6,5,5,6,6,5,6,5,6,6,1,12,3,3,51,0
483,R_5hBjaFSvGTvqrfP,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,1,3,1,1,1,1,4,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,2,6,2,2,1,5,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,4,5,5,7,5,4,7,1,4,1,4,7,4,5,7,5,7,7,1,12,6,2,44,1
484,R_1GKsl30juRqXkK2,2,2,2,4,2,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,3,2,3,4,4,3,4,2,3,3,3,2,1,3,2,3,3,2,2,3,2,3,2,2,1,2,1,2,3,1,2,3,3,1,2,2,4,2,2,2,3,2,1,2,4,4,3,2,2,1,2,4,1,1,4,2,2,4,1,3,4,2,3,5,4,2,2,5,3,4,4,4,4,2,2,4,3,4,2,4,4,2,2,4,2,3,4,2,4,1,3,2,4,2,1,1,2,1,1,3,4,1,4,2,6,5,7,3,6,6,6,3,7,5,5,5,7,3,6,3,6,5,5,5,6,12,4,7,26,1
485,R_23TzjK7a3nEXTPP,1,1,1,3,1,1,2,1,1,1,3,3,3,3,3,2,1,3,3,3,4,3,3,4,3,4,4,2,1,3,1,2,3,2,4,1,2,2,1,1,3,2,1,3,3,3,2,2,1,2,1,3,1,2,3,3,2,3,3,1,5,3,4,4,5,3,2,2,3,2,2,2,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,4,2,1,4,2,4,2,4,4,5,5,4,4,4,5,1,2,1,2,1,2,1,1,1,2,4,4,1,4,1,4,2,2,4,2,4,1,4,1,1,1,1,7,6,7,5,7,7,6,4,7,6,6,5,7,5,7,5,7,5,5,5,6,12,6,6,25,1
491,R_3m32vS20x37ralH,1,1,1,1,2,3,2,1,4,1,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,1,4,4,5,4,4,4,6,1,1,1,1,1,1,1,2,1,4,1,1,1,3,2,2,4,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,4,2,5,2,5,5,5,4,4,7,7,7,7,7,7,7,7,7,7,7,4,7,3,7,4,7,7,6,6,4,12,4,6,47,1
498,R_2Uf4d61MLvapZlm,2,3,2,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,2,2,3,1,2,3,2,2,3,2,2,2,1,3,2,2,2,4,3,3,3,2,2,4,3,3,4,3,3,2,3,3,2,4,2,3,2,4,5,2,3,4,4,2,3,4,4,3,3,3,2,2,4,4,3,3,4,2,2,2,3,3,4,3,2,4,4,4,2,2,4,2,3,3,2,1,4,4,1,2,2,2,3,3,3,3,2,1,2,2,2,4,1,4,3,2,4,4,2,4,3,4,1,1,2,3,5,6,4,4,4,6,1,6,6,3,4,5,4,6,4,6,5,3,6,1,12,4,4,40,1
503,R_BEUoiwl20om6uo9,1,1,3,1,3,2,1,3,3,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,1,1,1,1,3,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,3,3,3,2,3,2,3,2,1,1,1,2,3,2,1,2,2,4,4,4,4,4,3,4,5,4,1,3,1,2,1,3,1,1,2,1,1,3,1,1,1,1,1,3,1,3,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,3,2,1,1,1,2,1,6,5,4,4,6,6,5,4,7,6,6,6,7,6,7,5,6,5,6,4,1,11,2,2,50,0
507,R_2y7uFoYxJje1kAZ,2,1,3,3,3,1,3,3,3,1,3,3,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,2,2,3,2,3,1,1,3,1,3,3,3,1,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,4,1,1,4,5,5,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,5,5,4,1,4,4,5,1,4,4,4,4,4,4,5,4,5,4,4,1,1,1,4,1,4,1,4,1,4,1,1,4,4,1,1,4,1,1,4,1,1,4,1,4,7,7,7,5,5,6,7,7,7,7,7,6,6,5,7,4,7,6,6,7,4,12,3,4,44,0
522,R_01wqF5BwbNIKzND,3,2,2,2,4,2,3,3,2,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,4,3,3,3,2,4,2,2,2,2,3,2,2,2,1,2,3,3,2,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,1,2,2,5,1,4,3,5,2,1,1,1,2,2,1,1,1,2,2,2,2,5,2,2,2,2,2,2,5,3,2,2,1,2,2,5,4,5,4,5,5,5,4,5,2,2,2,2,2,2,2,2,3,4,4,4,4,4,2,2,4,2,4,2,4,2,4,4,2,3,3,7,6,7,7,7,7,7,7,7,7,6,5,7,5,7,5,7,7,6,7,1,12,2,2,22,0
526,R_sjrmI78kN3BlByF,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,3,1,2,4,1,4,1,1,1,1,1,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,5,2,5,3,5,5,5,5,5,2,2,2,2,2,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,4,1,5,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,4,1,1,1,7,7,7,2,5,7,4,7,6,7,5,4,4,3,7,7,7,6,5,6,1,12,4,3,24,1
529,R_3nlz7mrt5MO0wK2,2,1,2,4,4,1,4,2,3,1,4,2,1,3,1,4,4,2,1,3,2,4,3,3,3,2,3,2,2,2,2,3,2,1,4,2,2,1,2,1,2,2,2,2,4,1,4,4,2,2,4,4,4,4,3,2,4,2,4,2,3,1,1,1,4,2,3,1,4,1,1,1,1,1,1,1,1,1,3,3,1,1,4,2,1,1,1,3,5,5,2,1,3,2,1,5,1,2,3,2,3,3,4,3,3,3,2,1,1,2,1,1,1,3,2,1,2,2,5,3,1,1,3,2,3,2,1,3,2,3,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,12,2,2,65,1
536,R_6rEFhmvLg5HXzWN,1,1,2,1,3,2,1,2,2,1,3,3,1,2,2,1,3,3,3,2,4,2,3,4,4,4,4,1,2,4,3,3,2,3,4,2,3,4,3,2,3,1,3,2,4,1,1,4,2,2,3,2,3,1,2,1,2,2,2,2,2,1,4,2,2,2,2,1,4,2,1,1,2,3,2,1,4,1,1,2,2,1,5,2,1,3,1,3,4,5,2,3,4,3,3,5,4,2,3,3,4,5,5,4,4,5,3,5,4,5,4,3,4,3,2,3,3,3,2,3,2,2,2,3,1,3,2,3,3,3,2,2,5,4,6,2,4,6,7,4,7,6,5,4,7,5,7,1,7,3,3,5,1,12,2,2,32,1
541,R_2qghfyWAQVBdsjv,3,3,4,4,2,3,1,4,1,4,2,4,2,4,2,3,4,3,2,2,2,2,2,1,2,2,1,1,1,1,4,2,2,3,4,3,1,1,1,1,1,1,1,3,3,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,3,2,4,3,2,2,4,5,2,5,4,5,2,3,1,1,1,4,2,2,1,1,3,1,2,1,1,4,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,4,1,4,2,2,1,2,7,6,4,7,4,5,4,2,6,4,3,7,5,7,7,1,12,4,7,34,0
543,R_7afGxRvP4wLFikV,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,3,2,3,4,3,3,3,3,3,5,2,2,2,6,2,2,2,2,2,2,2,4,4,2,2,2,2,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,5,5,4,1,4,4,7,2,6,5,7,2,7,7,7,2,7,3,6,6,1,11,2,2,32,1
544,R_1kObU0anKnlGZjP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,3,4,1,3,2,1,4,4,1,1,1,1,4,3,3,3,3,3,3,2,2,3,3,3,3,1,3,1,1,1,1,1,1,1,1,4,3,4,1,5,1,4,1,6,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,3,3,3,1,1,3,3,5,3,1,1,3,3,1,3,3,3,1,3,1,4,3,5,5,5,1,1,1,1,4,1,3,1,1,7,7,7,4,7,6,7,6,7,7,5,4,6,3,6,4,7,4,7,6,1,12,4,3,26,1
545,R_2eVi0jeyBFbsOjQ,1,2,1,4,1,2,1,2,1,2,2,2,2,2,3,3,3,3,1,2,1,1,1,2,2,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,3,2,1,3,1,3,2,3,2,3,3,4,4,4,4,4,4,4,2,2,2,6,5,4,4,3,4,4,1,1,1,1,1,2,1,2,3,5,1,2,3,4,4,3,2,4,3,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,3,1,1,3,3,1,5,2,4,3,3,3,1,3,3,1,4,3,7,4,6,4,6,2,7,7,5,1,7,7,7,2,6,4,5,6,1,12,4,2,23,1
549,R_2CrgeQ3mwumOO28,2,1,2,4,3,1,2,3,2,2,3,2,4,3,3,3,3,3,3,3,2,3,3,3,4,2,3,3,2,4,3,2,3,3,2,3,2,2,1,2,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,5,3,3,2,5,2,2,2,2,3,2,2,3,1,4,1,1,1,4,2,2,4,1,4,4,5,4,2,4,4,4,1,4,4,4,4,4,4,4,4,4,2,2,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,2,2,5,7,7,2,6,5,6,3,7,6,6,3,6,2,7,5,7,3,5,6,1,12,3,3,29,0
553,R_3oMySWofV7O3L5v,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,1,3,1,1,3,3,2,1,2,2,3,2,2,3,2,3,2,1,2,2,2,2,3,3,2,2,3,1,2,2,2,2,1,3,3,3,3,3,3,2,2,1,3,3,4,4,2,2,4,2,1,1,4,3,3,2,2,1,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,2,2,4,2,2,2,4,2,2,2,2,4,4,4,2,2,2,2,2,2,4,2,4,2,2,2,2,2,4,2,4,2,4,3,4,2,6,5,3,4,4,6,5,5,6,6,5,2,6,4,6,2,6,3,5,5,1,12,4,4,33,0
554,R_W8NNoezWEwJeHa9,3,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,4,2,3,3,3,1,3,3,3,4,3,2,2,3,3,4,4,4,4,4,3,4,4,3,4,1,3,3,3,1,3,2,1,3,3,3,3,2,1,3,3,3,2,3,5,4,4,3,2,5,4,3,3,4,2,1,4,1,4,4,5,4,1,1,2,1,4,1,3,2,1,3,3,1,1,4,1,1,3,3,2,1,3,3,3,1,3,2,4,4,2,4,3,5,4,3,4,4,1,2,3,1,1,5,1,2,2,2,1,1,1,2,1,3,3,1,6,4,7,5,5,6,7,7,5,4,6,4,4,6,6,4,4,6,6,6,6,12,6,5,33,0
555,R_1mF9N78NnvRRFUw,3,1,3,1,4,4,4,3,3,1,3,3,3,4,4,4,3,3,4,4,3,2,2,3,4,1,4,1,2,2,3,3,3,3,4,3,2,4,4,3,3,4,2,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,5,5,5,4,6,5,6,4,5,5,6,3,4,3,4,6,5,4,4,5,3,4,4,5,3,3,4,5,3,4,5,4,4,5,3,5,3,5,5,3,5,3,3,4,4,5,5,4,4,3,5,4,3,3,4,4,3,3,4,4,4,4,3,5,3,5,4,4,3,5,4,7,5,7,4,5,5,5,7,5,7,6,5,6,4,6,7,4,7,4,1,10,7,4,72,0
556,R_2c6Cya5727KBTUo,1,1,1,3,1,1,2,1,1,2,2,3,2,2,3,3,2,4,2,3,2,3,3,3,2,3,1,1,1,2,3,2,2,2,3,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,3,4,3,2,2,2,2,2,4,2,2,2,2,2,1,3,2,2,1,5,4,2,3,2,3,3,2,4,1,1,4,1,2,4,4,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,2,3,2,3,2,1,2,3,1,5,5,4,2,2,6,7,2,6,4,4,3,5,7,4,4,7,5,7,7,6,-99,4,2,37,1
